channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,bannedChatters,deletedChats
UC--A2dwZW7-M2kID0N6_lfA,2021-03,32116,7874,1112,141,1,6
UC-hM6YJuNYVAmUWxeIr9FeA,2021-03,1569241,378133,60399,4959,650,2243
UC-o-E6I3IC2q8sAoAuM6Umg,2021-03,220362,25920,13101,307,79,23
UC01gb86Qdlkh23Nqk3A1OLQ,2021-03,30686,12753,1082,130,15,30
UC0Owc36U9lOyi9Gx9Ic-4qg,2021-03,446411,178018,7413,710,8,29
UC0QzO6nK1cEDZvJSt2769Zw,2021-03,1443,0,58,0,0,2
UC0TXe_LYZ4scaW2XMyi5_kw,2021-03,425975,64576,22375,1048,27,267
UC0WwEfE-jOM2rzjpdfhTzZA,2021-03,26682,816,948,32,0,6
UC0e6zo8oX6ISSBjPaSZsjeA,2021-03,2319,0,546,0,0,0
UC0g1AE0DOjBYnLhkgoRWN1w,2021-03,330759,83448,22275,869,47,74
UC0lik9pHju6ONgkBh7N5wHw,2021-03,1880,0,119,0,0,0
UC1519-d1jzGiL1MPTxEdtSA,2021-03,56182,31458,1720,518,3,0
UC1CfXB_kRs3C-zaeTG3oGyg,2021-03,226373,58075,36891,2858,382,31
UC1DCedRgGHBdm81E1llLhOQ,2021-03,2975810,1056052,83524,9244,135,1561
UC1QgXt46-GEvtNjEC1paHnw,2021-03,34062,542,3562,47,0,0
UC1ZV7KBscK0EMoJKFu1DnDg,2021-03,154586,35752,8685,548,12,95
UC1opHUrw8rvnsadT-iGp7Cg,2021-03,1602978,639090,69970,5793,490,503
UC1qGKZnAnIc1wgRDOT2IOtg,2021-03,10756,0,135,0,0,1
UC1suqwovbL1kzsoaZgFZLKg,2021-03,168057,20712,18249,546,813,182
UC1uv2Oq6kNxgATlCiez59hw,2021-03,386731,101917,22510,1941,217,100
UC1yoRdFoFJaCY-AGfD9W0wQ,2021-03,3383,0,679,0,0,1
UC1zFJrfEKvCixhsjNSb1toQ,2021-03,124739,19260,8837,663,6,38
UC22BVlBsZc6ta3Dqz75NU6Q,2021-03,74010,6136,7947,286,6,8
UC2OacIzd2UxGHRGhdHl1Rhw,2021-03,75932,8210,5834,123,6,14
UC2hc-00y-MSR6eYA4eQ4tjQ,2021-03,113303,29761,2693,204,1,13
UC2kyQhzGOB-JPgcQX9OMgEw,2021-03,198280,70086,2673,423,10,55
UC3-jXrZXv-PQshpaTQpicPQ,2021-03,10860,2098,913,58,1,12
UC3EhsuKdEkI99TWZwZgWutg,2021-03,79241,24158,4025,272,10,17
UC3czs41x7HD5-nk_cZ-Eo3g,2021-03,63541,6987,5143,129,337,904
UC3iwL9Yz8LcKkJsnLPevOTQ,2021-03,22880,0,754,0,0,1
UC3lNFeJiTq6L3UWoz4g1e-A,2021-03,161106,17667,7113,535,1,14
UC3vzVK_N_SUVKqbX69L_X4g,2021-03,119091,15463,8093,274,3,101
UC46Wizhr_xgL9Rm9onVkPQQ,2021-03,599,0,36,0,0,0
UC48jH1ul-6HOrcSSfoR02fQ,2021-03,79405,42618,3036,391,8,12
UC4OeUf_KfYRrwksschtRYow,2021-03,1325,0,310,0,0,0
UC4YaOt1yT-ZeyB0OmxHgolA,2021-03,95070,47733,8468,404,6,0
UC4lCGN8XFyThIK_E2dlwIow,2021-03,235,0,15,0,0,0
UC53UDnhAAYwvNO7j_2Ju1cQ,2021-03,45351,10761,3601,329,1,8
UC55-Y4cBl6alNaaOVVEYgSA,2021-03,10791,866,991,44,6,10
UC5CwaMl1eIgY8h02uZw7u8A,2021-03,561249,214885,34685,5248,42,90
UC5Ejf_RIWMVDAjA4B-GV5Zg,2021-03,1693,0,143,0,0,2
UC5ek2GWKvUKFgnKSHuuCFrw,2021-03,14808,3874,432,78,1,1
