channelId,period,superChats,uniqueSuperChatters,totalSC,averageSC,totalMessageLength,averageMessageLength,mostFrequentCurrency,mostFrequentColor
UCFKOVgVbGmX65RxO3EtH3iw,2021-03,5552,1043,3482098,627,182687,35,JPY,green
UCV5ZZlLjk5MKGg3L0n0vbzw,2021-03,220,121,199004,904,5747,29,JPY,green
UCvaTdHTWBGv3MKj3KVqJVCw,2021-03,2653,796,1576726,594,64393,26,JPY,green
UCNVEsYbiZjH5QLmGeSgTSzg,2021-03,166,124,205611,1238,4853,35,USD,green
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-03,3468,835,3773715,1088,110789,34,JPY,green
UCbc8fwhdUNlqi-J99ISYu4A,2021-03,25,22,41713,1668,742,33,JPY,green
UCD8HOxPs4Xvsm8H0ZxXGiBw,2021-03,112,55,82602,737,3238,31,JPY,green
UC2kyQhzGOB-JPgcQX9OMgEw,2021-03,200,96,233819,1169,2594,15,JPY,yellow
UCspv01oxUFf_MTSipURRhkA,2021-03,1205,493,2022241,1678,12055,17,JPY,green
UCBQd84IW8OvM8H5jftHdvmw,2021-03,139,46,89324,642,3127,23,JPY,lightblue
UCfQVs_KuXeNAlGa3fb8rlnQ,2021-03,139,45,87452,629,5476,40,JPY,green
UC6t3-_N8A6ME1JShZHHqOMw,2021-03,57,43,65585,1150,1032,19,USD,green
UCtpB6Bvhs1Um93ziEDACQ8g,2021-03,25,21,20723,828,454,18,JPY,green
UCGNI4MENvnsymYjKiZwv9eg,2021-03,71,45,125114,1762,1015,17,USD,green
UCIytNcoz4pWzXfLda0DoULQ,2021-03,186,105,228023,1225,2629,14,JPY,green
UCoSrY_IQQVpmIRZ9Xf-y93g,2021-03,1784,1088,2413697,1352,117284,70,USD,green
UCANDOlYTJT7N5jlRC3zfzVA,2021-03,285,141,333485,1170,4153,19,JPY,green
UCdyqAaZDKHXg4Ahi7VENThQ,2021-03,1402,678,1469337,1048,55013,40,JPY,green
UCeK9HFcRZoTrvqcUCtccMoQ,2021-03,123,66,93734,762,1522,13,JPY,green
UC8CKGSvp9bRfmtWyfV5L9Jw,2021-03,56,29,107776,1924,2022,37,USD,green
UCDqI2jOz0weumE8s7paEk6g,2021-03,581,324,854084,1470,18533,35,JPY,green
UCKeAhJvy8zgXWbh9duVjIaQ,2021-03,447,220,415044,928,13376,31,USD,green
UCn1coImC6NMDYCQfH_ILzXw,2021-03,304,132,227453,748,15558,56,USD,green
UChLfthKoUV502J7gU9STArg,2021-03,512,398,553244,1080,9726,23,JPY,green
UC_FqH-6GpFosu_P0ApjqW5A,2021-03,42,25,71986,1713,2907,74,USD,yellow
UCdYR5Oyz8Q4g0ZmB4PkTD7g,2021-03,234,135,153498,655,4792,23,USD,green
UCg63a3lk6PNeWhVvMRM_mrQ,2021-03,100,45,137164,1371,1701,18,JPY,green
UC01gb86Qdlkh23Nqk3A1OLQ,2021-03,62,42,43675,704,1149,20,JPY,green
UCa9Y57gfeY0Zro_noHRVrnw,2021-03,1071,494,1512958,1412,26631,27,JPY,green
UCyl1z3jo3XHR1riLFKG5UAg,2021-03,1565,523,1665026,1063,106274,74,USD,green
UCghSSXNbZRmPAv3UaS8g21A,2021-03,2,2,1671,835,105,52,CAD,green
UCS9uQI-jC3DE0L4IpXyvr6w,2021-03,12089,2067,9680391,800,196533,22,JPY,lightblue
UCL34fAoFim9oHLbVzMKFavQ,2021-03,249,100,227751,914,3715,17,JPY,green
UCe_p3YEuYJb8Np0Ip9dk-FQ,2021-03,135,78,124406,921,3275,26,JPY,green
UCkIimWZ9gBJRamKF0rmPU8w,2021-03,173,69,143108,827,1916,13,JPY,green
UCTEZGNJDqv-isWSPRsEhnRA,2021-03,33,14,11820,358,318,13,JPY,lightblue
UCUc8GZfFxtmk7ZwSO7ccQ0g,2021-03,532,408,808497,1519,12208,23,JPY,green
UCQ0UDLQCjY0rmuxCDE38FGg,2021-03,907,430,1117218,1231,18820,22,JPY,green
UCYz_5n-uDuChHtLo7My1HnQ,2021-03,857,329,1875294,2188,47909,59,USD,green
UCWz0CSYCxf4MhRKPDm220AQ,2021-03,18,13,26440,1468,299,17,JPY,lightblue
UCL_qhgtOy0dy1Agp8vkySQg,2021-03,3138,931,3330290,1061,123759,67,USD,blue
UCJQMHCFjVZOVRYafR6gY04Q,2021-03,12,8,8202,683,210,19,JPY,green
UCo2N7C-Z91waaR6lF3LL_jw,2021-03,330,212,367871,1114,5721,20,JPY,green
UChXm-xAYPfygrbyLo2yCASQ,2021-03,78,33,56184,720,868,13,JPY,green
UCLyTXfCZtl7dyhta9Jg3pZg,2021-03,842,202,491816,584,26591,33,JPY,lightblue
UCflNPJUJ4VQh1hGDNK7bsFg,2021-03,72,22,32869,456,1509,21,JPY,lightblue
UCRqBKoKuX30ruKAq05pCeRQ,2021-03,1029,300,583948,567,18235,20,JPY,green
UCP9ZgeIJ3Ri9En69R0kJc9Q,2021-03,1060,690,3104418,2928,13775,16,JPY,green
UC84RYorF7UcJzt_iAYXBisA,2021-03,64,20,35471,554,1431,22,JPY,green
UC0g1AE0DOjBYnLhkgoRWN1w,2021-03,214,110,282899,1321,4118,20,JPY,green
UCDh2bWI5EDu7PavqwICkVpA,2021-03,90,42,100410,1115,659,8,JPY,yellow
UCFTLzh12_nrtzqBPsTCqenA,2021-03,1009,464,1470073,1456,32705,35,JPY,green
UC1suqwovbL1kzsoaZgFZLKg,2021-03,140,93,177677,1269,2749,23,JPY,green
UCAWSyEs_Io8MtpY3m-zqILA,2021-03,1637,510,1502206,917,33054,23,JPY,green
UCZlDXzGoo7d44bwdNObFacg,2021-03,1679,483,1549930,923,38946,25,JPY,lightblue
UCt30jJgChL8qeT9VPadidSw,2021-03,191,121,146545,767,3402,20,JPY,green
UC0TXe_LYZ4scaW2XMyi5_kw,2021-03,50,46,58490,1169,1191,27,JPY,green
UCSFaf99eT5T4wNN1O2Z3NZg,2021-03,37,18,170832,4617,615,19,JPY,lightblue
UCV2m2UifDGr3ebjSnDv5rUA,2021-03,223,54,105150,471,5428,28,JPY,lightblue
UCCzUftO8KOVkV4wQG1vkUvg,2021-03,3677,983,3307713,899,68473,21,JPY,green
UCW8WKciBixmaqaGqrlTITRQ,2021-03,524,230,472802,902,7633,17,JPY,green
UCkPIfBOLoO0hVPG-tI2YeGg,2021-03,659,339,859487,1304,8912,14,JPY,green
UC1uv2Oq6kNxgATlCiez59hw,2021-03,890,367,1753693,1970,25191,34,JPY,green
UCsFn_ueskBkMCEyzCEqAOvg,2021-03,201,142,177455,882,6278,34,JPY,green
UCcD_EdnJcOjJMohDn435D3w,2021-03,42,11,38127,907,553,13,JPY,green
UCt5-0i4AVHXaWJrL8Wql3mw,2021-03,41,36,71351,1740,575,17,JPY,yellow
UCH11P1Hq4PXdznyw1Hhr3qw,2021-03,545,117,323785,594,15088,29,JPY,lightblue
UCFsWaTQ7kT76jNNGeGIKNSA,2021-03,77,37,60510,785,888,13,JPY,green
UCtnO2N4kPTXmyvedjGWdx3Q,2021-03,220,113,274937,1249,3169,17,JPY,green
UCJCzy0Fyrm0UhIrGQ7tHpjg,2021-03,461,127,375750,815,8555,24,JPY,lightblue
UCmZ1Rbthn-6Jm_qOGjYsh5A,2021-03,1072,527,1098721,1024,28548,28,JPY,green
UCOozmdnOhOrk3mojTazi-TQ,2021-03,79,31,62449,790,1849,25,JPY,lightblue
UCFv2z4iM5vHrS8bZPq4fHQQ,2021-03,498,308,986048,1980,8710,18,JPY,green
UChgTyjG-pdNvxxhdsXfHQ5Q,2021-03,747,264,483985,647,47508,68,USD,green
UC1opHUrw8rvnsadT-iGp7Cg,2021-03,2138,710,2605662,1218,43630,21,JPY,green
UCnRQYHTnRLSF0cLJwMnedCg,2021-03,59,37,37589,637,822,14,JPY,green
UCuep1JCrMvSxOGgGhBfJuYw,2021-03,605,224,364751,602,13252,23,JPY,green
UCp6993wxpyDPHUpavwDFqgg,2021-03,397,237,616150,1552,8257,22,JPY,yellow
UC2hc-00y-MSR6eYA4eQ4tjQ,2021-03,107,65,198671,1856,1506,17,JPY,green
UC2OacIzd2UxGHRGhdHl1Rhw,2021-03,165,132,399082,2418,3827,24,JPY,green
UC-hM6YJuNYVAmUWxeIr9FeA,2021-03,1416,636,862161,608,22575,18,JPY,green
UC-o-E6I3IC2q8sAoAuM6Umg,2021-03,662,409,709228,1071,13906,22,JPY,green
UC8jskpQfW9fn2NLK3PdaGdg,2021-03,39,16,20506,525,508,13,JPY,lightblue
UCpRXCTyNNa-MnjhK6gisnRw,2021-03,50,10,15118,302,1199,24,KRW,lightblue
UCfiK42sBHraMBK6eNWtsy7A,2021-03,174,76,192172,1104,2563,15,JPY,yellow
UCb6ObE-XGCctO3WrjRZC-cw,2021-03,352,99,240316,682,8026,22,JPY,green
UCKwATdrcjyzNv9c56PqJbWA,2021-03,174,36,132253,760,3179,18,JPY,lightblue
UC6HjtF2rHZO8gAsX5FXF-Kg,2021-03,24,18,9292,387,212,11,JPY,green
UCpJtk0myFr5WnyfsmnInP-w,2021-03,177,94,166927,943,7453,46,USD,green
UCvEX2UICvFAa_T6pqizC20g,2021-03,53,25,36487,688,689,13,JPY,green
UCyZZMKRn-mUEkPzaqa9b6bg,2021-03,176,42,110641,628,2070,11,TWD,lightblue
UCryOPk2GZ1meIDt53tL30Tw,2021-03,166,83,113332,682,2477,18,JPY,green
UCo7TRj3cS-f_1D9ZDmuTsjw,2021-03,510,178,492916,966,10879,22,JPY,green
UCP0BspO_AMEe3aQqqpo89Dg,2021-03,177,107,126275,713,8750,54,USD,green
UCeLzT-7b2PBcunJplmWtoDg,2021-03,519,280,783054,1508,7519,16,JPY,green
UCODNLyn3L83wEmC0DLL0cxA,2021-03,304,145,955322,3142,6118,21,JPY,green
UCHsx4Hqa-1ORjQTh9TYDhww,2021-03,2738,1000,3927976,1434,188949,73,USD,green
UC9mf_ZVpouoILRY9NUIaK-w,2021-03,422,245,711705,1686,10843,30,JPY,green
UCSFCh5NL4qXrAy9u-u2lX3g,2021-03,829,528,1120101,1351,12250,17,JPY,green
UCc5H1WmEARIj2R16mvut0ZA,2021-03,269,96,83144,309,7495,30,PHP,lightblue
UCl-3q6t6zdZwgIsFZELb7Zg,2021-03,609,143,509888,837,12639,21,JPY,lightblue
